nohup: ignoring input
2016/03/12 23:13:40 5570000
2016/03/12 23:14:04 5580000
2016/03/12 23:14:25 5590000
2016/03/12 23:14:52 5600000
2016/03/12 23:15:13 5610000
2016/03/12 23:15:38 5620000
2016/03/12 23:16:00 5630000
2016/03/12 23:16:25 5640000
2016/03/12 23:16:47 5650000
2016/03/12 23:17:11 5660000
2016/03/12 23:17:35 5670000
2016/03/12 23:18:00 5680000
2016/03/12 23:18:25 5690000
2016/03/12 23:18:51 5700000
2016/03/12 23:19:15 5710000
2016/03/12 23:19:39 5720000
2016/03/12 23:20:04 5730000
2016/03/12 23:20:29 5740000
2016/03/12 23:20:52 5750000
2016/03/12 23:21:15 5760000
2016/03/12 23:21:38 5770000
2016/03/12 23:21:59 5780000
2016/03/12 23:22:24 5790000
2016/03/12 23:22:46 5800000
2016/03/12 23:23:10 5810000
2016/03/12 23:23:35 5820000
2016/03/12 23:24:01 5830000
2016/03/12 23:24:24 5840000
2016/03/12 23:24:49 5850000
2016/03/12 23:25:12 5860000
2016/03/12 23:25:38 5870000
2016/03/12 23:26:03 5880000
2016/03/12 23:26:26 5890000
2016/03/12 23:26:48 5900000
2016/03/12 23:27:14 5910000
2016/03/12 23:27:44 5920000
2016/03/12 23:28:12 5930000
2016/03/12 23:28:42 5940000
2016/03/12 23:29:10 5950000
2016/03/12 23:29:32 5960000
2016/03/12 23:29:55 5970000
2016/03/12 23:30:21 5980000
2016/03/12 23:30:42 5990000
2016/03/12 23:31:04 6000000
2016/03/12 23:31:26 6010000
2016/03/12 23:31:49 6020000
2016/03/12 23:32:13 6030000
2016/03/12 23:32:36 6040000
2016/03/12 23:33:00 6050000
2016/03/12 23:33:28 6060000
2016/03/12 23:33:53 6070000
2016/03/12 23:34:16 6080000
2016/03/12 23:34:37 6090000
2016/03/12 23:35:01 6100000
2016/03/12 23:35:25 6110000
2016/03/12 23:35:48 6120000
2016/03/12 23:36:11 6130000
2016/03/12 23:36:33 6140000
2016/03/12 23:36:58 6150000
2016/03/12 23:37:22 6160000
2016/03/12 23:37:44 6170000
2016/03/12 23:38:10 6180000
2016/03/12 23:38:32 6190000
2016/03/12 23:38:56 6200000
2016/03/12 23:39:18 6210000
2016/03/12 23:39:45 6220000
2016/03/12 23:40:10 6230000
2016/03/12 23:40:31 6240000
2016/03/12 23:40:54 6250000
2016/03/12 23:41:18 6260000
2016/03/12 23:41:41 6270000
2016/03/12 23:42:07 6280000
2016/03/12 23:42:31 6290000
2016/03/12 23:42:54 6300000
2016/03/12 23:43:17 6310000
2016/03/12 23:43:39 6320000
2016/03/12 23:44:02 6330000
2016/03/12 23:44:26 6340000
2016/03/12 23:44:50 6350000
2016/03/12 23:45:14 6360000
2016/03/12 23:45:38 6370000
2016/03/12 23:46:02 6380000
2016/03/12 23:46:25 6390000
2016/03/12 23:46:52 6400000
2016/03/12 23:47:14 6410000
2016/03/12 23:47:38 6420000
2016/03/12 23:48:02 6430000
2016/03/12 23:48:29 6440000
2016/03/12 23:48:54 6450000
2016/03/12 23:49:17 6460000
2016/03/12 23:49:39 6470000
2016/03/12 23:50:05 6480000
2016/03/12 23:50:29 6490000
2016/03/12 23:50:54 6500000
2016/03/12 23:51:17 6510000
2016/03/12 23:51:42 6520000
2016/03/12 23:52:06 6530000
2016/03/12 23:52:31 6540000
2016/03/12 23:52:57 6550000
2016/03/12 23:53:20 6560000
2016/03/12 23:53:45 6570000
2016/03/12 23:54:12 6580000
2016/03/12 23:54:34 6590000
2016/03/12 23:54:58 6600000
2016/03/12 23:55:22 6610000
2016/03/12 23:55:45 6620000
2016/03/12 23:56:09 6630000
2016/03/12 23:56:33 6640000
2016/03/12 23:56:57 6650000
2016/03/12 23:57:24 6660000
2016/03/12 23:57:49 6670000
2016/03/12 23:58:11 6680000
2016/03/12 23:58:35 6690000
2016/03/12 23:59:01 6700000
2016/03/12 23:59:26 6710000
2016/03/12 23:59:55 6720000
2016/03/13 00:00:20 6730000
2016/03/13 00:00:43 6740000
2016/03/13 00:01:08 6750000
2016/03/13 00:01:31 6760000
2016/03/13 00:01:55 6770000
2016/03/13 00:02:17 6780000
2016/03/13 00:02:42 6790000
2016/03/13 00:03:06 6800000
2016/03/13 00:03:27 6810000
2016/03/13 00:03:54 6820000
2016/03/13 00:04:17 6830000
2016/03/13 00:04:38 6840000
2016/03/13 00:05:01 6850000
2016/03/13 00:05:23 6860000
2016/03/13 00:05:45 6870000
2016/03/13 00:06:11 6880000
2016/03/13 00:06:37 6890000
2016/03/13 00:06:59 6900000
2016/03/13 00:07:21 6910000
2016/03/13 00:07:45 6920000
2016/03/13 00:08:10 6930000
2016/03/13 00:08:31 6940000
2016/03/13 00:08:57 6950000
2016/03/13 00:09:21 6960000
2016/03/13 00:09:42 6970000
2016/03/13 00:10:08 6980000
2016/03/13 00:10:32 6990000
2016/03/13 00:10:54 7000000
2016/03/13 00:11:18 7010000
2016/03/13 00:11:42 7020000
2016/03/13 00:12:07 7030000
2016/03/13 00:12:30 7040000
2016/03/13 00:12:55 7050000
2016/03/13 00:13:20 7060000
2016/03/13 00:13:44 7070000
2016/03/13 00:14:07 7080000
2016/03/13 00:14:32 7090000
2016/03/13 00:15:00 7100000
2016/03/13 00:15:26 7110000
2016/03/13 00:15:51 7120000
2016/03/13 00:16:13 7130000
2016/03/13 00:16:37 7140000
2016/03/13 00:17:04 7150000
2016/03/13 00:17:26 7160000
2016/03/13 00:17:49 7170000
2016/03/13 00:18:14 7180000
2016/03/13 00:18:38 7190000
2016/03/13 00:19:00 7200000
2016/03/13 00:19:27 7210000
2016/03/13 00:19:51 7220000
2016/03/13 00:20:16 7230000
2016/03/13 00:20:42 7240000
2016/03/13 00:21:09 7250000
2016/03/13 00:21:33 7260000
2016/03/13 00:22:01 7270000
2016/03/13 00:22:26 7280000
2016/03/13 00:22:51 7290000
2016/03/13 00:23:20 7300000
2016/03/13 00:23:45 7310000
2016/03/13 00:24:09 7320000
2016/03/13 00:24:31 7330000
2016/03/13 00:24:58 7340000
2016/03/13 00:25:25 7350000
2016/03/13 00:25:48 7360000
2016/03/13 00:26:16 7370000
2016/03/13 00:26:40 7380000
2016/03/13 00:27:02 7390000
2016/03/13 00:27:24 7400000
2016/03/13 00:27:50 7410000
2016/03/13 00:28:16 7420000
2016/03/13 00:28:41 7430000
2016/03/13 00:29:06 7440000
2016/03/13 00:29:32 7450000
2016/03/13 00:29:57 7460000
2016/03/13 00:30:21 7470000
2016/03/13 00:30:44 7480000
2016/03/13 00:31:09 7490000
2016/03/13 00:31:33 7500000
2016/03/13 00:31:59 7510000
2016/03/13 00:32:24 7520000
2016/03/13 00:32:46 7530000
2016/03/13 00:33:11 7540000
2016/03/13 00:33:37 7550000
2016/03/13 00:34:02 7560000
2016/03/13 00:34:27 7570000
2016/03/13 00:34:52 7580000
2016/03/13 00:35:17 7590000
2016/03/13 00:35:41 7600000
2016/03/13 00:36:07 7610000
2016/03/13 00:36:31 7620000
2016/03/13 00:36:56 7630000
2016/03/13 00:37:19 7640000
2016/03/13 00:37:46 7650000
2016/03/13 00:38:13 7660000
2016/03/13 00:38:38 7670000
2016/03/13 00:39:05 7680000
2016/03/13 00:39:30 7690000
2016/03/13 00:39:58 7700000
2016/03/13 00:40:21 7710000
