detectorid,starttime,volume,speed,occupancy,status,dqflags
1346,9/15/2011 0:50:40,1,49,7,2,0
1346,9/15/2011 0:51:00,1,67,1,2,0
1346,9/15/2011 0:51:20,0,,0,0,0
1346,9/15/2011 0:51:40,0,,0,0,0
1346,9/15/2011 0:52:00,1,62,1,2,0
1346,9/15/2011 0:52:20,0,,0,0,0
1346,9/15/2011 0:52:40,1,66,4,2,0
1346,9/15/2011 0:53:00,1,49,4,2,0
1346,9/15/2011 0:53:20,0,,0,0,0
1346,9/15/2011 0:53:40,1,67,0,3,0
1346,9/15/2011 0:54:00,0,,0,0,0
1346,9/15/2011 0:54:20,1,49,4,2,0
1346,9/15/2011 0:54:40,0,,0,0,0
1346,9/15/2011 0:55:00,0,,0,0,0
1346,9/15/2011 0:55:20,0,,0,0,0
1346,9/15/2011 0:55:40,4,67,4,2,0
1346,9/15/2011 0:56:00,0,,0,0,0
1346,9/15/2011 0:56:20,2,55,4,2,0
1346,9/15/2011 0:56:40,0,,0,0,0
1346,9/15/2011 0:57:00,0,,0,0,0
1346,9/15/2011 0:57:20,1,49,3,2,0
1346,9/15/2011 0:57:40,1,67,1,2,0
1346,9/15/2011 0:58:00,0,,0,0,0
1346,9/15/2011 0:58:20,0,,0,0,0
1346,9/15/2011 0:58:40,0,,0,0,0
1346,9/15/2011 0:59:00,0,,0,0,0
1346,9/15/2011 0:59:20,1,67,0,3,0
1346,9/15/2011 0:59:40,2,46,2,2,0
1347,9/15/2011 0:00:00,3,54,6,2,0
1347,9/15/2011 0:00:20,,,,0,0
1347,9/15/2011 0:00:40,1,63,0,3,0
1347,9/15/2011 0:01:00,1,67,1,2,0
1347,9/15/2011 0:01:20,1,67,1,2,0
1347,9/15/2011 0:01:40,1,50,0,3,0
1347,9/15/2011 0:02:00,1,49,2,2,0
1347,9/15/2011 0:02:20,0,,0,0,0
1347,9/15/2011 0:02:40,2,67,5,2,0
1347,9/15/2011 0:03:00,1,51,4,2,0
1347,9/15/2011 0:03:20,0,,0,0,0
1347,9/15/2011 0:03:40,1,50,0,3,0
1347,9/15/2011 0:04:00,4,58,5,2,0
1347,9/15/2011 0:04:20,1,0,0,3,24
1347,9/15/2011 0:04:40,3,61,4,2,0
1347,9/15/2011 0:05:00,2,57,2,2,0
1347,9/15/2011 0:05:20,0,,0,0,0
1347,9/15/2011 0:05:40,0,,0,0,0
1347,9/15/2011 0:06:00,2,57,2,2,0
1347,9/15/2011 0:06:20,1,67,1,2,0
1347,9/15/2011 0:06:40,2,49,0,3,0
1347,9/15/2011 0:07:00,0,,0,0,0
1347,9/15/2011 0:07:20,1,67,1,2,0
1347,9/15/2011 0:07:40,1,56,1,2,0
1347,9/15/2011 0:08:00,3,67,2,2,0
1347,9/15/2011 0:08:20,0,,0,0,0
1347,9/15/2011 0:08:40,2,58,5,2,0
